,Image,Ratings,Title,author
0,https://images.gr-assets.com/books/1523543089s/27834600.jpg, 4.01,"In a Dark, Dark Wood",Ruth Ware
1,https://images.gr-assets.com/books/1501852423s/34912895.jpg, 3.67,The Great Alone,Kristin Hannah
2,https://images.gr-assets.com/books/1491493625s/33590210.jpg, 4.35,An American Marriage,Tayari Jones
3,https://images.gr-assets.com/books/1493015963s/30288282.jpg, 4.06,The Immortalists,Chloe Benjamin
4,https://images.gr-assets.com/books/1496862122s/34189556.jpg, 3.75,The Wife Between Us,Greer Hendricks
5,https://images.gr-assets.com/books/1493047153s/26032825.jpg, 3.87,The Cruel Prince (The Folk ...,Holly Black
6,https://images.gr-assets.com/books/1506026635s/35133922.jpg, 4.21,Educated: A Memoir,Tara Westover
7,https://images.gr-assets.com/books/1516127989s/34728667.jpg, 4.48,Children of Blood and Bone ...,Tomi Adeyemi
8,https://images.gr-assets.com/books/1502818159s/35791968.jpg, 4.30,"Still Me (Me Before You, #3)",Jojo Moyes
9,https://images.gr-assets.com/books/1508879575s/35959740.jpg, 4.24,Circe,Madeline Miller
